Year,Quarter,Region,Country,Main_Category,Subcategory,orders,revenue,production_cost,shipping_cost,profit,avg_sales_price,avg_delivery_days,has_shipping_rate,avg_shop_age,unique_products,top_product_revenue_share,profit_margin_pct,shipping_ratio,production_ratio,profit_per_order,revenue_per_order,revenue_share_country_quarter,profit_share_region_quarter,profit_yoy_growth,orders_yoy_growth,region_margin_pct,region_shipping_ratio,margin_gap_vs_region,shipping_gap_vs_region,pred_profit_margin_pct,pred_shipping_ratio,margin_gap_vs_model,shipping_gap_vs_model,risk_score,cluster_id,cluster_label,anomaly_flag,anomaly_score,anomaly_reason
2020,2,Asia,China,Accessories,Neck warmers,5,136.9,85.33,13.69,37.879999999999995,27.380000000000003,4.4,1.0,1.0,5,0.3284879474068663,0.27669831994156313,0.09999999999999999,0.6233016800584368,7.575999999999999,27.380000000000003,0.011168362452112281,0.0006382666107705974,0.0,0.0,0.40769468793636565,0.03795097168508269,-0.13099636799480252,0.0620490283149173,0.32426356735272627,0.09967028689001961,-0.047565247411163136,0.0003297131099803813,84.26917788862752,1,Pressao logistica,-1,0.19854407855946143,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2021,3,Asia,China,Clothing,Jackets,9,1542.66,926.03,180.25,436.38000000000005,171.40666666666667,4.444444444444445,1.0,2.0,9,0.1882333112934801,0.2828750340321263,0.11684363372356837,0.6002813322443052,48.48666666666667,171.40666666666667,0.09113783159948177,0.005050337881237553,2.1466685895586965,3.5,0.4094873914752311,0.040240123981644706,-0.12661235744310478,0.07660350974192368,0.323868679342493,0.10937677320019307,-0.0409936453103667,0.007466860523375307,83.7295155223905,1,Pressao logistica,-1,0.22176661107032014,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2020,4,Asia,China,Accessories,Ski socks,6,144.46,85.13,16.32,43.01,24.076666666666668,5.0,1.0,1.0,5,0.313097051086806,0.2977294752872767,0.1129724491208639,0.5892980755918593,7.168333333333333,24.076666666666668,0.012183530558767445,0.0006165919282511211,0.0,0.0,0.4190320502221442,0.036970292700974766,-0.12130257493486746,0.07600215641988914,0.32331884219615054,0.10883346872834615,-0.025589366908873812,0.004138980392517755,80.61621264264798,1,Pressao logistica,-1,0.17676763237946547,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2020,3,Asia,China,Accessories,Goggles,5,420.25,223.78,54.93,141.54,84.05,5.2,1.0,1.0,5,0.3000118976799524,0.3367995240928019,0.13070791195716835,0.5324925639500298,28.308,84.05,0.06702573213949646,0.002833230912122601,0.0,0.0,0.4162331152973843,0.03989787511050827,-0.07943359120458243,0.09081003684666009,0.3503336742740588,0.11058080708786043,-0.013534150181256921,0.020127104869307924,79.9110950275188,1,Pressao logistica,-1,0.16951972748085298,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2021,1,Asia,China,Accessories,Hats,6,140.82,77.54,17.46,45.81999999999999,23.47,4.166666666666667,1.0,2.0,6,0.25131373384462435,0.3253799176253373,0.12398806987643801,0.5506320124982248,7.636666666666666,23.47,0.011943280865561335,0.000593717043164732,0.043735763097949576,0.5,0.40708694621974784,0.04073193841035938,-0.08170702859441054,0.08325613146607863,0.33565225022897577,0.1045466558638999,-0.010272332603638468,0.019441414012538114,78.81798843071488,1,Pressao logistica,-1,0.16996317987351828,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2020,1,Asia,China,Clothing,Top base layers,8,615.68,363.28000000000003,67.32,185.07999999999998,76.96,4.625,1.0,0.5,8,0.1895952442827443,0.30061070686070684,0.1093425155925156,0.5900467775467776,23.134999999999998,76.96,0.02976886675908192,0.001532149518521103,0.0,0.0,0.40689091573668956,0.03778800731172781,-0.10628020887598272,0.07155450828078778,0.3309656276620192,0.1041653824880872,-0.030354920801312357,0.005177133104428397,78.63073361597385,1,Pressao logistica,-1,0.16710720035899274,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2021,4,Asia,China,Accessories,Neck warmers,9,308.93,188.32,31.509999999999998,89.1,34.32555555555555,4.888888888888889,1.0,2.0,9,0.14919237367688473,0.2884148512608034,0.10199721619784416,0.6095879325413524,9.899999999999999,34.32555555555555,0.013774944876588213,0.0007784313533627534,1.2386934673366836,1.25,0.4108663216157494,0.03795818143401554,-0.12245147035494597,0.06403903476382862,0.3249997284321011,0.099257904004926,-0.036584877171297714,0.0027393121929181613,78.49815170518836,1,Pressao logistica,-1,0.1868809221478105,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2021,3,Asia,China,Clothing,Outerwear pants,7,1322.4,757.5,156.04999999999998,408.85,188.91428571428574,4.428571428571429,1.0,2.0,7,0.16820931639443434,0.3091727162734422,0.1180051421657592,0.5728221415607985,58.40714285714286,188.91428571428574,0.07812523077486595,0.004731726116558901,-0.2465399996314247,-0.125,0.4094873914752311,0.040240123981644706,-0.10031467520178888,0.07776501818411449,0.3389725574575185,0.11317134970031976,-0.029799841184076248,0.00483379246543944,78.39359526780316,1,Pressao logistica,-1,0.1616129575785814,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2021,1,Asia,China,Accessories,Goggles,5,662.66,383.23,72.57,206.86,132.53199999999998,5.4,1.0,2.0,5,0.27041016509220417,0.3121661183714122,0.10951317417680258,0.5783207074517853,41.372,132.53199999999998,0.05620177885508361,0.0026804082834800632,-0.6156376001040524,-0.5833333333333333,0.40708694621974784,0.04073193841035938,-0.09492082784833561,0.0687812357664432,0.34053496098320923,0.11017627488207038,-0.028368842611797007,-0.0006631007052678023,77.0038232578356,1,Pressao logistica,-1,0.17776282599121862,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2020,1,Asia,China,Accessories,Ski socks,7,161.42000000000002,95.25,17.85,48.32000000000001,23.060000000000002,4.571428571428571,1.0,0.2857142857142857,7,0.19644405897658282,0.29934332796431673,0.11058109280138768,0.5900755792342955,6.902857142857144,23.060000000000002,0.0078048506890771256,0.00040000791406386276,0.0,0.0,0.40689091573668956,0.03778800731172781,-0.10754758777237283,0.07279308548965988,0.31396763284294965,0.10482017317559823,-0.014624304878632921,0.005760919625789451,76.67006354923429,1,Pressao logistica,-1,0.16315274909715338,"margem baixa, abaixo do esperado pelo modelo, pressao de shipping"
2020,1,Asia,China,Technical equipment,Poles,7,1301.03,704.61,148.01,448.40999999999997,185.86142857142858,5.714285714285714,1.0,0.5714285714285714,5,0.5261139251208657,0.3446576942883715,0.11376371029107707,0.5415785954205514,64.05857142857143,185.86142857142858,0.06290636161572304,0.003712076753836437,0.0,0.0,0.40689091573668956,0.03778800731172781,-0.062233221448318055,0.07597570297934926,0.35086718886538876,0.10799572524764695,-0.006209494577017249,0.005767985043430124,75.54638226059588,1,Pressao logistica,-1,0.17190756399949203,"margem baixa, pressao de shipping, shipping acima do esperado"
